mark_status,station_key,station_name,display_name,available_lines,click_x_px,click_y_px,click_x_pct,click_y_pct,click_radius_px,click_shape,source_method,manual_override_note
완료,무악재,무악재,무악재역,3,1928,488,37.65625,16.944444444444446,24,circle,auto_from_visual_nodes_avg,
완료,독립문,독립문,독립문역,3,2084,488,40.703125,16.944444444444446,24,circle,auto_from_visual_nodes_avg,
완료,경복궁,경복궁,경복궁역,3,2084,648,40.703125,22.5,24,circle,auto_from_visual_nodes_avg,
완료,안국,안국,안국역,3,2084,808,40.703125,28.055555555555557,24,circle,auto_from_visual_nodes_avg,
완료,충무로,충무로,충무로역,"3,4",2328,1244,45.46875,43.19444444444444,42,circle,auto_from_visual_nodes_avg,
완료,동대입구,동대입구,동대입구역,3,2404,1356,46.953125,47.083333333333336,24,circle,auto_from_visual_nodes_avg,
완료,약수,약수,약수역,"3,6",2480,1476,48.4375,51.24999999999999,42,circle,auto_from_visual_nodes_avg,
완료,금호,금호,금호역,3,2480,1556,48.4375,54.02777777777777,24,circle,auto_from_visual_nodes_avg,
완료,옥수,옥수,옥수역,3,2480,1636,48.4375,56.80555555555556,24,circle,auto_from_visual_nodes_avg,
완료,압구정,압구정,압구정역,3,2480,1760,48.4375,61.111111111111114,24,circle,auto_from_visual_nodes_avg,
완료,신사,신사,신사역,3,2480,1828,48.4375,63.47222222222222,24,circle,auto_from_visual_nodes_avg,
완료,잠원,잠원,잠원역,3,2480,1884,48.4375,65.41666666666667,24,circle,auto_from_visual_nodes_avg,
완료,고속터미널,고속터미널,고속터미널역,"3,7",2480,1964,48.4375,68.19444444444444,42,circle,auto_from_visual_nodes_avg,
완료,남부터미널,남부터미널,남부터미널역,3,2480,2252,48.4375,78.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,양재,양재,양재역,3,2616,2252,51.09375000000001,78.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,매봉,매봉,매봉역,3,2696,2252,52.65625000000001,78.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,도곡,도곡,도곡역,3,2776,2252,54.21875000000001,78.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,대치,대치,대치역,3,2860,2252,55.859375,78.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,학여울,학여울,학여울역,3,2944,2252,57.49999999999999,78.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,대청,대청,대청역,3,3028,2252,59.140625,78.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,일원,일원,일원역,3,3112,2252,60.78125,78.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,수서,수서,수서역,3,3232,2328,63.125,80.83333333333333,24,circle,auto_from_visual_nodes_avg,
완료,가락시장,가락시장,가락시장역,"3,8",3300,2140,64.453125,74.30555555555556,42,circle,auto_from_visual_nodes_avg,
완료,경찰병원,경찰병원,경찰병원역,3,3584,2140,70.0,74.30555555555556,24,circle,auto_from_visual_nodes_avg,
완료,오금,오금,오금역,"3,5",3862,2140,75.4296875,74.30555555555556,42,circle,auto_from_visual_nodes_avg,
완료,불암산,불암산,불암산역,4,3744,356,73.125,12.36111111111111,24,circle,auto_from_visual_nodes_avg,
완료,상계,상계,상계역,4,3604,356,70.390625,12.36111111111111,24,circle,auto_from_visual_nodes_avg,
완료,노원,노원,노원역,"4,7",3464,356,67.65625,12.36111111111111,42,circle,auto_from_visual_nodes_avg,
완료,창동,창동,창동역,4,3324,458,64.921875,15.902777777777777,24,circle,auto_from_visual_nodes_avg,
완료,쌍문,쌍문,쌍문역,4,3194,554,62.38281249999999,19.23611111111111,24,circle,auto_from_visual_nodes_avg,
완료,수유,수유,수유역,4,3064,648,59.84374999999999,22.5,24,circle,auto_from_visual_nodes_avg,
완료,미아,미아,미아역,4,2908,648,56.796875,22.5,24,circle,auto_from_visual_nodes_avg,
완료,미아사거리,미아사거리,미아사거리역,4,2752,648,53.75,22.5,24,circle,auto_from_visual_nodes_avg,
완료,길음,길음,길음역,4,2596,648,50.70312500000001,22.5,24,circle,auto_from_visual_nodes_avg,
완료,성신여대입구,성신여대입구,성신여대입구역,4,2440,648,47.65625,22.5,24,circle,auto_from_visual_nodes_avg,
완료,한성대입구,한성대입구,한성대입구역,4,2328,772,45.46875,26.805555555555554,24,circle,auto_from_visual_nodes_avg,
완료,혜화,혜화,혜화역,4,2328,876,45.46875,30.416666666666664,24,circle,auto_from_visual_nodes_avg,
완료,명동,명동,명동역,4,2192,1308,42.8125,45.416666666666664,24,circle,auto_from_visual_nodes_avg,
완료,회현,회현,회현역,4,2076,1308,40.546875,45.416666666666664,24,circle,auto_from_visual_nodes_avg,
완료,숙대입구,숙대입구,숙대입구역,4,1940,1392,37.890625,48.333333333333336,24,circle,auto_from_visual_nodes_avg,
완료,삼각지,삼각지,삼각지역,"4,6",1940,1476,37.890625,51.24999999999999,42,circle,auto_from_visual_nodes_avg,
완료,신용산,신용산,신용산역,4,2008,1560,39.21875,54.166666666666664,24,circle,auto_from_visual_nodes_avg,
완료,이촌,이촌,이촌역,4,2072,1632,40.46875,56.666666666666664,24,circle,auto_from_visual_nodes_avg,
완료,동작,동작,동작역,4,2200,1750,42.96875,60.763888888888886,24,circle,auto_from_visual_nodes_avg,
완료,이수,이수,이수역,"4,7",2200,1964,42.96875,68.19444444444444,42,circle,auto_from_visual_nodes_avg,
완료,남태령,남태령,남태령역,4,2200,2252,42.96875,78.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,방화,방화,방화역,5,788,828,15.390625,28.749999999999996,24,circle,auto_from_visual_nodes_avg,
완료,개화산,개화산,개화산역,5,788,900,15.390625,31.25,24,circle,auto_from_visual_nodes_avg,
완료,김포공항,김포공항,김포공항역,5,788,972,15.390625,33.75,24,circle,auto_from_visual_nodes_avg,
완료,송정,송정,송정역,5,828,1066,16.171875,37.01388888888889,24,circle,auto_from_visual_nodes_avg,
완료,마곡,마곡,마곡역,5,880,1120,17.1875,38.88888888888889,24,circle,auto_from_visual_nodes_avg,
완료,발산,발산,발산역,5,938,1176,18.3203125,40.833333333333336,24,circle,auto_from_visual_nodes_avg,
완료,우장산,우장산,우장산역,5,996,1234,19.453125,42.84722222222222,24,circle,auto_from_visual_nodes_avg,
완료,화곡,화곡,화곡역,5,1054,1296,20.5859375,45.0,24,circle,auto_from_visual_nodes_avg,
완료,신정,신정,신정역,5,1180,1420,23.046875,49.30555555555556,24,circle,auto_from_visual_nodes_avg,
완료,목동,목동,목동역,5,1240,1476,24.21875,51.24999999999999,24,circle,auto_from_visual_nodes_avg,
완료,오목교,오목교,오목교역,5,1296,1536,25.3125,53.333333333333336,24,circle,auto_from_visual_nodes_avg,
완료,양평,양평,양평역,5,1356,1594,26.484375,55.34722222222223,24,circle,auto_from_visual_nodes_avg,
완료,영등포시장,영등포시장,영등포시장역,5,1504,1740,29.375,60.416666666666664,24,circle,auto_from_visual_nodes_avg,
완료,신길,신길,신길역,5,1600,1832,31.25,63.61111111111111,24,circle,auto_from_visual_nodes_avg,
완료,여의도,여의도,여의도역,5,1684,1750,32.890625,60.763888888888886,24,circle,auto_from_visual_nodes_avg,
완료,여의나루,여의나루,여의나루역,5,1752,1676,34.21875,58.19444444444445,24,circle,auto_from_visual_nodes_avg,
완료,마포,마포,마포역,5,1752,1576,34.21875,54.72222222222223,24,circle,auto_from_visual_nodes_avg,
완료,공덕,공덕,공덕역,"5,6",1752,1476,34.21875,51.24999999999999,42,circle,auto_from_visual_nodes_avg,
완료,애오개,애오개,애오개역,5,1752,1308,34.21875,45.416666666666664,24,circle,auto_from_visual_nodes_avg,
완료,서대문,서대문,서대문역,5,1752,980,34.21875,34.02777777777778,24,circle,auto_from_visual_nodes_avg,
완료,광화문,광화문,광화문역,5,1916,980,37.421875,34.02777777777778,24,circle,auto_from_visual_nodes_avg,
완료,청구,청구,청구역,"5,6",2528,1244,49.375,43.19444444444444,42,circle,auto_from_visual_nodes_avg,
완료,신금호,신금호,신금호역,5,2628,1344,51.328125,46.666666666666664,24,circle,auto_from_visual_nodes_avg,
완료,행당,행당,행당역,5,2740,1244,53.515625,43.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,마장,마장,마장역,5,2884,1144,56.32812499999999,39.72222222222222,24,circle,auto_from_visual_nodes_avg,
완료,답십리,답십리,답십리역,5,3084,1144,60.23437499999999,39.72222222222222,24,circle,auto_from_visual_nodes_avg,
완료,장한평,장한평,장한평역,5,3192,1144,62.34375,39.72222222222222,24,circle,auto_from_visual_nodes_avg,
완료,군자,군자,군자역,"5,7",3192,1250,62.34375,43.40277777777778,42,circle,auto_from_visual_nodes_avg,
완료,아차산,아차산,아차산역,5,3192,1368,62.34375,47.5,24,circle,auto_from_visual_nodes_avg,
완료,광나루,광나루,광나루역,5,3192,1484,62.34375,51.52777777777777,24,circle,auto_from_visual_nodes_avg,
완료,천호,천호,천호역,"5,8",3340,1636,65.234375,56.80555555555556,42,circle,auto_from_visual_nodes_avg,
완료,강동,강동,강동역,5,3468,1760,67.734375,61.111111111111114,24,circle,auto_from_visual_nodes_avg,
완료,길동,길동,길동역,5,3616,1760,70.625,61.111111111111114,24,circle,auto_from_visual_nodes_avg,
완료,굽은다리,굽은다리,굽은다리역,5,3764,1760,73.515625,61.111111111111114,24,circle,auto_from_visual_nodes_avg,
완료,명일,명일,명일역,5,3912,1760,76.40625,61.111111111111114,24,circle,auto_from_visual_nodes_avg,
완료,고덕,고덕,고덕역,5,4060,1760,79.296875,61.111111111111114,24,circle,auto_from_visual_nodes_avg,
완료,상일동,상일동,상일동역,5,4208,1760,82.1875,61.111111111111114,24,circle,auto_from_visual_nodes_avg,
완료,강일,강일,강일역,5,4356,1760,85.078125,61.111111111111114,24,circle,auto_from_visual_nodes_avg,
완료,미사,미사,미사역,5,4356,1928,85.078125,66.94444444444444,24,circle,auto_from_visual_nodes_avg,
완료,하남풍산,하남풍산,하남풍산역,5,4356,2096,85.078125,72.77777777777777,24,circle,auto_from_visual_nodes_avg,
완료,하남시청,하남시청,하남시청역,5,4356,2264,85.078125,78.61111111111111,24,circle,auto_from_visual_nodes_avg,
완료,하남검단산,하남검단산,하남검단산역,5,4356,2436,85.078125,84.58333333333333,24,circle,auto_from_visual_nodes_avg,
완료,둔촌동,둔촌동,둔촌동역,5,3574,1862,69.8046875,64.65277777777779,24,circle,auto_from_visual_nodes_avg,
완료,올림픽공원,올림픽공원,올림픽공원역,5,3680,1964,71.875,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,방이,방이,방이역,5,3772,2052,73.671875,71.25,24,circle,auto_from_visual_nodes_avg,
완료,개롱,개롱,개롱역,5,3964,2240,77.421875,77.77777777777779,24,circle,auto_from_visual_nodes_avg,
완료,거여,거여,거여역,5,4064,2336,79.375,81.11111111111111,24,circle,auto_from_visual_nodes_avg,
완료,마천,마천,마천역,5,4164,2436,81.328125,84.58333333333333,24,circle,auto_from_visual_nodes_avg,
완료,응암,응암,응암역,6,1296,676,25.3125,23.47222222222222,24,circle,auto_from_visual_nodes_avg,
완료,역촌,역촌,역촌역,6,1384,580,27.03125,20.13888888888889,24,circle,auto_from_visual_nodes_avg,
완료,독바위,독바위,독바위역,6,1378,324,26.914062500000004,11.25,24,circle,auto_from_visual_nodes_avg,
완료,구산,구산,구산역,6,1296,584,25.3125,20.27777777777778,24,circle,auto_from_visual_nodes_avg,
완료,새절,새절,새절역,6,1296,780,25.3125,27.083333333333332,24,circle,auto_from_visual_nodes_avg,
완료,증산,증산,증산역,6,1296,884,25.3125,30.694444444444446,24,circle,auto_from_visual_nodes_avg,
완료,디지털미디어시티,디지털미디어시티,디지털미디어시티역,6,1296,1032,25.3125,35.833333333333336,24,circle,auto_from_visual_nodes_avg,
완료,월드컵경기장,월드컵경기장,월드컵경기장역,6,1296,1120,25.3125,38.88888888888889,24,circle,auto_from_visual_nodes_avg,
완료,마포구청,마포구청,마포구청역,6,1296,1200,25.3125,41.66666666666667,24,circle,auto_from_visual_nodes_avg,
완료,망원,망원,망원역,6,1356,1264,26.484375,43.888888888888886,24,circle,auto_from_visual_nodes_avg,
완료,상수,상수,상수역,6,1488,1396,29.062500000000004,48.47222222222222,24,circle,auto_from_visual_nodes_avg,
완료,광흥창,광흥창,광흥창역,6,1572,1476,30.703124999999996,51.24999999999999,24,circle,auto_from_visual_nodes_avg,
완료,대흥,대흥,대흥역,6,1656,1476,32.34375,51.24999999999999,24,circle,auto_from_visual_nodes_avg,
완료,효창공원앞,효창공원앞,효창공원앞역,6,1832,1476,35.78125,51.24999999999999,24,circle,auto_from_visual_nodes_avg,
완료,녹사평,녹사평,녹사평역,6,2048,1476,40.0,51.24999999999999,24,circle,auto_from_visual_nodes_avg,
완료,이태원,이태원,이태원역,6,2156,1476,42.109375,51.24999999999999,24,circle,auto_from_visual_nodes_avg,
완료,한강진,한강진,한강진역,6,2264,1476,44.21875,51.24999999999999,24,circle,auto_from_visual_nodes_avg,
완료,버티고개,버티고개,버티고개역,6,2372,1476,46.328125,51.24999999999999,24,circle,auto_from_visual_nodes_avg,
완료,창신,창신,창신역,6,2528,872,49.375,30.277777777777775,24,circle,auto_from_visual_nodes_avg,
완료,보문,보문,보문역,6,2528,768,49.375,26.666666666666668,24,circle,auto_from_visual_nodes_avg,
완료,안암,안암,안암역,6,2660,768,51.953125,26.666666666666668,24,circle,auto_from_visual_nodes_avg,
완료,고려대,고려대,고려대역,6,2792,768,54.53125,26.666666666666668,24,circle,auto_from_visual_nodes_avg,
완료,월곡,월곡,월곡역,6,2924,768,57.10937499999999,26.666666666666668,24,circle,auto_from_visual_nodes_avg,
완료,상월곡,상월곡,상월곡역,6,3056,768,59.68750000000001,26.666666666666668,24,circle,auto_from_visual_nodes_avg,
완료,돌곶이,돌곶이,돌곶이역,6,3188,768,62.265625,26.666666666666668,24,circle,auto_from_visual_nodes_avg,
완료,석계,석계,석계역,6,3324,768,64.921875,26.666666666666668,24,circle,auto_from_visual_nodes_avg,
완료,태릉입구,태릉입구,태릉입구역,"6,7",3464,636,67.65625,22.083333333333332,42,circle,auto_from_visual_nodes_avg,
완료,화랑대,화랑대,화랑대역,6,3664,636,71.5625,22.083333333333332,24,circle,auto_from_visual_nodes_avg,
완료,봉화산,봉화산,봉화산역,6,3664,792,71.5625,27.500000000000004,24,circle,auto_from_visual_nodes_avg,
완료,신내,신내,신내역,6,3664,948,71.5625,32.916666666666664,24,circle,auto_from_visual_nodes_avg,
완료,장암,장암,장암역,7,3064,408,59.84374999999999,14.166666666666666,24,circle,auto_from_visual_nodes_avg,
완료,도봉산,도봉산,도봉산역,7,3064,324,59.84374999999999,11.25,24,circle,auto_from_visual_nodes_avg,
완료,수락산,수락산,수락산역,7,3064,240,59.84374999999999,8.333333333333332,24,circle,auto_from_visual_nodes_avg,
완료,마들,마들,마들역,7,3464,240,67.65625,8.333333333333332,24,circle,auto_from_visual_nodes_avg,
완료,중계,중계,중계역,7,3464,426,67.65625,14.791666666666666,24,circle,auto_from_visual_nodes_avg,
완료,하계,하계,하계역,7,3464,496,67.65625,17.22222222222222,24,circle,auto_from_visual_nodes_avg,
완료,공릉,공릉,공릉역,7,3464,566,67.65625,19.65277777777778,24,circle,auto_from_visual_nodes_avg,
완료,먹골,먹골,먹골역,7,3464,748,67.65625,25.972222222222225,24,circle,auto_from_visual_nodes_avg,
완료,중화,중화,중화역,7,3464,860,67.65625,29.86111111111111,24,circle,auto_from_visual_nodes_avg,
완료,상봉,상봉,상봉역,7,3464,972,67.65625,33.75,24,circle,auto_from_visual_nodes_avg,
완료,면목,면목,면목역,7,3420,1020,66.796875,35.41666666666667,24,circle,auto_from_visual_nodes_avg,
완료,사가정,사가정,사가정역,7,3364,1078,65.703125,37.43055555555556,24,circle,auto_from_visual_nodes_avg,
완료,용마산,용마산,용마산역,7,3304,1136,64.53125,39.44444444444444,24,circle,auto_from_visual_nodes_avg,
완료,중곡,중곡,중곡역,7,3248,1196,63.4375,41.52777777777778,24,circle,auto_from_visual_nodes_avg,
